layer,query_split,probe,accuracy,train_accuracy,chance_accuracy,num_classes,regularizer
0,validation,entity_id,0.1770833283662796,0.2013888955116272,0.0625,16,5.13
0,validation,relation_id,0.5,0.7604166865348816,0.3333333333333333,3,5.13
0,validation,answer_token,0.0625,0.1354166716337204,0.020833333333333332,48,5.13
0,test,entity_id,0.2083333283662796,0.2013888955116272,0.0625,16,5.13
0,test,relation_id,0.5,0.7604166865348816,0.3333333333333333,3,5.13
0,test,answer_token,0.0572916679084301,0.1354166716337204,0.020833333333333332,48,5.13
1,validation,entity_id,0.1979166716337204,0.4305555522441864,0.0625,16,5.13
1,validation,relation_id,0.4895833432674408,0.9340277910232544,0.3333333333333333,3,5.13
1,validation,answer_token,0.0833333358168602,0.3854166567325592,0.020833333333333332,48,5.13
1,test,entity_id,0.1666666716337204,0.4305555522441864,0.0625,16,5.13
1,test,relation_id,0.4166666567325592,0.9340277910232544,0.3333333333333333,3,5.13
1,test,answer_token,0.046875,0.3854166567325592,0.020833333333333332,48,5.13
2,validation,entity_id,0.2395833283662796,0.6527777910232544,0.0625,16,5.13
2,validation,relation_id,0.75,0.9965277910232544,0.3333333333333333,3,5.13
2,validation,answer_token,0.0833333358168602,0.7118055820465088,0.020833333333333332,48,5.13
2,test,entity_id,0.1927083283662796,0.6527777910232544,0.0625,16,5.13
2,test,relation_id,0.3697916567325592,0.9965277910232544,0.3333333333333333,3,5.13
2,test,answer_token,0.0625,0.7118055820465088,0.020833333333333332,48,5.13
3,validation,entity_id,0.2083333283662796,0.7534722089767456,0.0625,16,5.13
3,validation,relation_id,0.8125,1.0,0.3333333333333333,3,5.13
3,validation,answer_token,0.0729166641831398,0.7986111044883728,0.020833333333333332,48,5.13
3,test,entity_id,0.1770833283662796,0.7534722089767456,0.0625,16,5.13
3,test,relation_id,0.5989583134651184,1.0,0.3333333333333333,3,5.13
3,test,answer_token,0.0677083358168602,0.7986111044883728,0.020833333333333332,48,5.13
4,validation,entity_id,0.1666666716337204,0.875,0.0625,16,5.13
4,validation,relation_id,0.8333333134651184,1.0,0.3333333333333333,3,5.13
4,validation,answer_token,0.09375,0.8958333134651184,0.020833333333333332,48,5.13
4,test,entity_id,0.1822916716337204,0.875,0.0625,16,5.13
4,test,relation_id,0.6510416865348816,1.0,0.3333333333333333,3,5.13
4,test,answer_token,0.0520833320915699,0.8958333134651184,0.020833333333333332,48,5.13
5,validation,entity_id,0.1458333283662796,0.9652777910232544,0.0625,16,5.13
5,validation,relation_id,0.8020833134651184,1.0,0.3333333333333333,3,5.13
5,validation,answer_token,0.0625,0.9618055820465088,0.020833333333333332,48,5.13
5,test,entity_id,0.2291666716337204,0.9652777910232544,0.0625,16,5.13
5,test,relation_id,0.6979166865348816,1.0,0.3333333333333333,3,5.13
5,test,answer_token,0.109375,0.9618055820465088,0.020833333333333332,48,5.13
6,validation,entity_id,0.2291666716337204,0.9861111044883728,0.0625,16,5.13
6,validation,relation_id,0.9166666865348816,1.0,0.3333333333333333,3,5.13
6,validation,answer_token,0.125,0.9826388955116272,0.020833333333333332,48,5.13
6,test,entity_id,0.1979166716337204,0.9861111044883728,0.0625,16,5.13
6,test,relation_id,0.75,1.0,0.3333333333333333,3,5.13
6,test,answer_token,0.0520833320915699,0.9826388955116272,0.020833333333333332,48,5.13
7,validation,entity_id,0.1666666716337204,0.9965277910232544,0.0625,16,5.13
7,validation,relation_id,0.8333333134651184,1.0,0.3333333333333333,3,5.13
7,validation,answer_token,0.0520833320915699,0.9930555820465088,0.020833333333333332,48,5.13
7,test,entity_id,0.1822916716337204,0.9965277910232544,0.0625,16,5.13
7,test,relation_id,0.515625,1.0,0.3333333333333333,3,5.13
7,test,answer_token,0.0572916679084301,0.9930555820465088,0.020833333333333332,48,5.13
