step,learning_rate,loss,public_loss,public_relation_ce_loss,public_relation_supcon_loss,public_template_adversary_loss,private_loss,private_fact_supcon_loss,private_relation_ce_loss,private_relation_supcon_loss,private_template_adversary_loss,gradient_norm,private_validation_gate_count,public_validation_gate_count,private_validation_relation_head,private_validation_centroid_top1,public_validation_relation_head,public_validation_relation_probe,public_validation_relation_template_margin,public_train_template_probe
50,0.0002,1.595196008682251,1.595196008682251,1.775193214416504,2.914201498031616,2.495181083679199,0.0,0.0,0.0,0.0,0.0,0.9245567917823792,5,0,0.6458333134651184,0.8125,0.3333333432674408,0.375,-0.007173597812652588,0.9722222089767456
100,0.00019869002134404235,1.2691676616668701,1.2691676616668701,1.171199917793274,2.7993292808532715,2.4740371704101562,0.0,0.0,0.0,0.0,0.0,1.2959545850753784,4,0,0.6770833134651184,0.8229166666666666,0.3958333432674408,0.4791666567325592,-0.0068711042404174805,0.9722222089767456
150,0.0001946885829634935,1.2621169090270996,1.2621169090270996,1.1479649543762207,2.808040142059326,2.530527114868164,0.0,0.0,0.0,0.0,0.0,1.2386078834533691,4,0,0.8333333134651184,0.8229166666666666,0.3541666567325592,0.5416666865348816,-0.008031308650970459,0.9861111044883728
200,0.00018810428687441414,1.248173475265503,1.248173475265503,1.0911740064620972,2.8993117809295654,2.4544804096221924,0.0,0.0,0.0,0.0,0.0,1.1964037418365479,4,0,0.6875,0.8125,0.3958333432674408,0.5,-0.01102358102798462,0.9861111044883728
250,0.00017911673551013551,0.9623482823371887,0.9623482823371887,0.764820396900177,2.2763731479644775,2.4932687282562256,0.0,0.0,0.0,0.0,0.0,2.0138161182403564,5,0,0.8333333134651184,0.8020833333333334,0.375,0.3958333432674408,-0.051471829414367676,0.9861111044883728
300,0.00016797108584307732,1.1083433628082275,1.1083433628082275,0.801439106464386,2.92486834526062,2.453003406524658,0.0,0.0,0.0,0.0,0.0,3.759096622467041,3,0,0.5,0.6666666666666666,0.2708333432674408,0.4166666567325592,-0.14945602416992188,0.9861111044883728
350,0.00015497136214161664,0.8170957565307617,0.8170957565307617,0.509454607963562,2.182495594024658,2.5173871517181396,0.0,0.0,0.0,0.0,0.0,5.042278289794922,3,0,0.53125,0.6875,0.2708333432674408,0.2916666567325592,-0.319602906703949,0.9722222089767456
400,0.00014047216298057873,0.6758168935775757,0.6758168935775757,0.38066115975379944,1.819886565208435,2.430180072784424,0.0,0.0,0.0,0.0,0.0,3.451568365097046,3,0,0.5,0.7291666666666666,0.3125,0.2708333432674408,-0.23150885105133057,0.9583333134651184
450,0.0001248689887164855,0.5224047899246216,0.5224047899246216,0.21555912494659424,1.4568073749542236,2.465275287628174,0.0,0.0,0.0,0.0,0.0,3.441648244857788,2,0,0.5,0.6979166666666666,0.2708333432674408,0.2916666567325592,-0.35370826721191406,0.9861111044883728
500,0.00010858745326882171,0.6623319387435913,0.6623319387435913,0.19489224255084991,2.2104082107543945,2.456083297729492,0.0,0.0,0.0,0.0,0.0,5.606720447540283,2,0,0.5,0.71875,0.2916666567325592,0.2708333432674408,-0.3094438314437866,0.9722222089767456
