variant,split,row_id,phrase_family,sample_type,target_relation,route_status,predicted_relation,reject_reason,candidate_set,memory_access_count,error_type
R0,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_ambiguous_01,ambiguous,,accept,access_code,,access_code,1,false_memory_access
R0,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_ambiguous_02,ambiguous,,accept,access_code,,access_code,1,false_memory_access
R0,public_locked_audit_v2,public_locked_audit_v2:unrelated:smoke_locked_unrelated_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_unrelated_01,unrelated,,accept,access_code,,access_code,1,false_memory_access
R0,public_locked_audit_v2,public_locked_audit_v2:unrelated:smoke_locked_unrelated_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_unrelated_02,unrelated,,accept,access_code,,access_code,1,false_memory_access
R1,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_ambiguous_01,ambiguous,,accept,registry_id,,registry_id,1,false_memory_access
R1,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_ambiguous_02,ambiguous,,accept,registry_id,,registry_id,1,false_memory_access
R1,public_locked_audit_v2,public_locked_audit_v2:unrelated:smoke_locked_unrelated_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_unrelated_01,unrelated,,accept,registry_id,,registry_id,1,false_memory_access
R1,public_locked_audit_v2,public_locked_audit_v2:unrelated:smoke_locked_unrelated_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_unrelated_02,unrelated,,accept,registry_id,,registry_id,1,false_memory_access
R2,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_ambiguous_01,ambiguous,,accept,registry_id,,registry_id,1,false_memory_access
R2,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_ambiguous_02,ambiguous,,accept,registry_id,,registry_id,1,false_memory_access
R2,public_locked_audit_v2,public_locked_audit_v2:unrelated:smoke_locked_unrelated_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_unrelated_01,unrelated,,accept,city_code,,city_code,1,false_memory_access
R2,public_locked_audit_v2,public_locked_audit_v2:unrelated:smoke_locked_unrelated_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_unrelated_02,unrelated,,accept,access_code,,access_code,1,false_memory_access
R4,public_locked_audit_v2,public_locked_audit_v2:registry_id:smoke_locked_registry_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_registry_02,known,registry_id,reject,,unknown,,0,known_route_error
R4,public_locked_audit_v2,public_locked_audit_v2:access_code:smoke_locked_access_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_access_01,known,access_code,reject,,unknown,,0,known_route_error
R4,public_locked_audit_v2,public_locked_audit_v2:access_code:smoke_locked_access_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_access_02,known,access_code,reject,,unknown,,0,known_route_error
R4,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_01:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-0,smoke_locked_ambiguous_01,ambiguous,,reject,,unknown,,0,reject_reason_mismatch
R4,public_locked_audit_v2,public_locked_audit_v2:ambiguous:smoke_locked_ambiguous_02:public_locked_audit_v2-frame-0:public_locked_audit_v2-entity-1,smoke_locked_ambiguous_02,ambiguous,,reject,,unknown,,0,reject_reason_mismatch
