variant,coverage,risk,accuracy,threshold
R0,0.1,0.0,1.0,-0.0014156699180603027
R0,0.2,0.0,1.0,-0.0014374852180480957
R0,0.3,0.0,1.0,-0.0014636516571044922
R0,0.4,0.0,1.0,-0.0015090107917785645
R0,0.5,0.0,1.0,-0.0015150904655456543
R0,0.6,0.0,1.0,-0.0015235543251037598
R0,0.7,0.1428571428571429,0.8571428571428571,-0.29395246505737305
R0,0.8,0.25,0.75,-0.2939649224281311
R0,0.9,0.33333333333333337,0.6666666666666666,-0.9999771871898702
R0,1.0,0.4,0.6,-1.0000224655886996
R1,0.1,0.0,1.0,-0.0014156699180603027
R1,0.2,0.0,1.0,-0.0014374852180480957
R1,0.3,0.0,1.0,-0.0014636516571044922
R1,0.4,0.0,1.0,-0.0015090107917785645
R1,0.5,0.0,1.0,-0.0015150904655456543
R1,0.6,0.0,1.0,-0.0015235543251037598
R1,0.7,0.1428571428571429,0.8571428571428571,-0.29395246505737305
R1,0.8,0.25,0.75,-0.2939649224281311
R1,0.9,0.33333333333333337,0.6666666666666666,-0.9999771871898702
R1,1.0,0.4,0.6,-1.0000224655886996
R2,0.1,0.0,1.0,-0.0038074254989624023
R2,0.2,0.0,1.0,-0.003855288028717041
R2,0.3,0.0,1.0,-0.004112601280212402
R2,0.4,0.0,1.0,-0.0042375922203063965
R2,0.5,0.0,1.0,-0.004238724708557129
R2,0.6,0.0,1.0,-0.0043070316314697266
R2,0.7,0.1428571428571429,0.8571428571428571,-0.3786882162094116
R2,0.8,0.25,0.75,-0.3788321614265442
R2,0.9,0.33333333333333337,0.6666666666666666,-0.8017951846122742
R2,1.0,0.4,0.6,-0.8019764125347137
R3,0.1,0.0,1.0,-0.0014156699180603027
R3,0.2,0.0,1.0,-0.0014374852180480957
R3,0.3,0.0,1.0,-0.0014636516571044922
R3,0.4,0.0,1.0,-0.0015090107917785645
R3,0.5,0.0,1.0,-0.0015150904655456543
R3,0.6,0.0,1.0,-0.0015235543251037598
R3,0.7,0.1428571428571429,0.8571428571428571,-1.706035077571869
R3,0.8,0.25,0.75,-1.706047534942627
R3,0.9,0.33333333333333337,0.6666666666666666,-1.9999771871898702
R3,1.0,0.4,0.6,-2.0000224655886996
R4,0.1,0.0,1.0,-0.0014156699180603027
R4,0.2,0.0,1.0,-0.0014374852180480957
R4,0.3,0.0,1.0,-0.0014636516571044922
R4,0.4,0.25,0.75,-1.0015090107917786
R4,0.5,0.4,0.6,-1.0015150904655457
R4,0.6,0.5,0.5,-1.0015235543251038
R4,0.7,0.5714285714285714,0.42857142857142855,-1.293952465057373
R4,0.8,0.625,0.375,-1.293964922428131
R4,0.9,0.6666666666666667,0.3333333333333333,-1.9999771871898702
R4,1.0,0.7,0.3,-2.0000224655886996
