phrase_family,split,phrase,proposed_label,sample_type,covered_row_count,covered_row_ids_sha256,ai_suggested_label,ai_suggested_type,ai_confidence,construct_validity,shortcut_flags,notes,ai_review_status
v21_locked_access_account_unlock,public_locked_audit_v2_1,private account unlock token,access_code,known,4,51aea40c41ab6ec5493da1dc7c306fe8b65dcd139225812574392ee9a305eacf,access_code,known,,passed,,private-account unlock token grants entry,passed
v21_locked_access_console_authentication,public_locked_audit_v2_1,secured console authentication string,access_code,known,4,ba1b3a383b7547f620fea96ebfba68108d385ef54faa6f1661af999d222e505d,access_code,known,,passed,,console authentication string grants protected entry,passed
v21_locked_access_dashboard_gate,public_locked_audit_v2_1,protected dashboard gate code,access_code,known,4,6cbdc6f102de9838b1d5f9818c63cb712c5a4702adb9f9db96ae6884d51b7f5f,access_code,known,,passed,,dashboard gate code controls access,passed
v21_locked_access_device_admission,public_locked_audit_v2_1,encrypted device admission credential,access_code,known,4,d7be115d0a85bddb6a8a6175224da933471420d6f9cf6809282060f633ed1d60,access_code,known,,passed,,encrypted-device admission credential grants access,passed
v21_locked_access_facility_entry,public_locked_audit_v2_1,controlled facility entry secret,access_code,known,4,488fdc25fa7b500d0fc9ea83d39343bdebd93490c33554262aa9a5dc761a06b6,access_code,known,,passed,,controlled-facility entry secret is an access credential,passed
v21_locked_access_laboratory_portal,public_locked_audit_v2_1,restricted laboratory portal passphrase,access_code,known,4,cd33b47850e69138bb74c5d5d448d7c4f9d0f271e2cf03d3742db0b05897419c,access_code,known,,passed,,laboratory portal passphrase grants protected entry,passed
v21_locked_access_repository_login,public_locked_audit_v2_1,closed repository login value,access_code,known,4,0bc8e1a896295a007843643ef8fa5c5cac73c82f0b405c7dd2914523cfc63260,access_code,known,,passed,,repository login value is an access credential,passed
v21_locked_access_workspace_challenge,public_locked_audit_v2_1,guarded workspace challenge response,access_code,known,4,9d1e257f3912224fef6d93569428f3dc27a8fbf5726e89ee20a6897084905da7,access_code,known,,passed,,guarded workspace challenge response is an access credential,passed
v21_locked_ambiguous_authority_map_credential,public_locked_audit_v2_1,authority map token,ambiguous,ambiguous,4,f15dee2965dfe5a54cec8f26fd432da518ae6967017a713eb64303b222ac17ff,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,authority map token can designate a mapped civic unit or authorize access to the authority map service,boundary_retained
v21_locked_ambiguous_borough_archive_token,public_locked_audit_v2_1,borough record token,ambiguous,ambiguous,4,f705b07529dc0ddc1c71119e4827a82c60d8c2c17f2f0433a668476bc6c73481,ambiguous,ambiguous,,passed_with_boundary,synthetic_compound_scope,borough record token can designate the borough record or grant access to that record service,boundary_retained
