phrase_family,split,phrase,proposed_label,sample_type,covered_row_count,covered_row_ids_sha256,ai_suggested_label,ai_suggested_type,ai_confidence,construct_validity,shortcut_flags,notes,ai_review_status
v21_train_access_account_authentication,public_train_v2_1,account authentication passphrase,access_code,known,3,cf4dc9157c2f548e8d92ec47ab669a47313c1fb84a7a89e1b4f3285d9253a62b,,,,,,,pending
v21_train_access_archive_unlock,public_train_v2_1,secure archive unlock response,access_code,known,3,572685e2b99800d436488460f51ca602082233c06ce5a5e589c91ccc50aff315,,,,,,,pending
v21_train_access_console_secret,public_train_v2_1,encrypted console access secret,access_code,known,3,c86d37527335f744fe24fb73baa4cd71f5c55385f3a08a793da501b7481917ec,,,,,,,pending
v21_train_access_dashboard_signin,public_train_v2_1,private dashboard sign-in code,access_code,known,3,a0dc9130bce7dd5017e911e3fa47e5f8c6e7d3121f095d85d47847561dc15fee,,,,,,,pending
v21_train_access_facility_keypad,public_train_v2_1,controlled facility keypad value,access_code,known,3,09f173b144ee8ee70eacedfc126352f52eb47239706dbedc0f3d36dafb7f533e,,,,,,,pending
v21_train_access_service_challenge,public_train_v2_1,protected service login challenge,access_code,known,3,da40212a6519e80f30322a5f04ae15b57a4d2d336172d12809b62afee2994153,,,,,,,pending
v21_train_access_terminal_admission,public_train_v2_1,guarded terminal admission token,access_code,known,3,ff3419582c43176ead52a1435bb8705b0a0206db2f4a685c5d897ddfd03b6a75,,,,,,,pending
v21_train_access_workspace_entry,public_train_v2_1,restricted workspace entry credential,access_code,known,3,4ac5f89c262d3ac68d728e228c4c4a71201bbbc33c6f9a897babb28d33b32d6f,,,,,,,pending
v21_train_city_borough_survey,public_train_v2_1,borough survey area label,city_code,known,3,d18355d25674146b86401bd43e88379da296e613b0cc5f57329436ab21389e4c,,,,,,,pending
v21_train_city_council_area,public_train_v2_1,local council area notation,city_code,known,3,dc2a2627523d48c766032c2e7e5a5c051f6b541ae880ca39cfbe8bb0fedc416b,,,,,,,pending
v21_train_city_district_atlas,public_train_v2_1,municipal district atlas symbol,city_code,known,3,045654348931b720e4d10fa5b3c083a0194f0e88a82f71e6835bd2af76d3e55d,,,,,,,pending
v21_train_city_locality_sign,public_train_v2_1,civic locality geographic sign,city_code,known,3,4bf4482231b09bc829131151cbbd595981f6cc5442d7ace57b4aaae81a2e05bc,,,,,,,pending
v21_train_city_planning_zone,public_train_v2_1,community planning zone mark,city_code,known,3,11b048d232d3d3498ee561c7fe5eb78dc9f505289565ecfaecb1c656321dcf33,,,,,,,pending
v21_train_city_precinct_mapping,public_train_v2_1,urban precinct mapping code,city_code,known,3,8111aeb4cc8a34228f95bac3c1ea5a0fb381026265daf0bf9f5b442785c65d84,,,,,,,pending
v21_train_city_territory_chart,public_train_v2_1,settlement territory chart code,city_code,known,3,a08bf94bb91d137227cb55332e54bea5bdd9d3a34b1cca18a231f321d1b89f44,,,,,,,pending
v21_train_city_township_boundary,public_train_v2_1,township boundary designation,city_code,known,3,0498826d3de8ecd9472677d349fc1f003181df5c3be19a45a1f6c32783cf8fc2,,,,,,,pending
v21_train_registry_charitable_register,public_train_v2_1,charitable register enrollee tag,registry_id,known,3,811c08279c9a58a54d9919621a54c59b97dcbaaeadc454dca33565d149282f63,,,,,,,pending
v21_train_registry_conservancy_accession,public_train_v2_1,public conservancy accession number,registry_id,known,3,7d8707a749ef279349d67ae99013040bf504f64a2c7815c79dc08807e9df7c99,,,,,,,pending
v21_train_registry_estate_intake,public_train_v2_1,court estate intake reference,registry_id,known,3,e64086e3f0aacbf60c5673eea39c5ab76cc901908a6cf33b5527521c3fc5f560,,,,,,,pending
v21_train_registry_land_deeds,public_train_v2_1,land deeds registration marker,registry_id,known,3,f2d96a39bf73c4a4115780bb7b34427a25f50f7a54793404d41b3c5c0d077ab3,,,,,,,pending
v21_train_registry_maritime_certificate,public_train_v2_1,maritime certificate ledger number,registry_id,known,3,6413542bd6d9782be561c797f77978a0494c9f42d8040eec05e2fd78e73c1918,,,,,,,pending
v21_train_registry_professional_roll,public_train_v2_1,professional roll entry number,registry_id,known,3,ab86ae0bc2c615f8d4ffacdb09c07118803afa62ea5d38f7c108985e069ddaf8,,,,,,,pending
v21_train_registry_records_custody,public_train_v2_1,public records custody identifier,registry_id,known,3,9e0b2def1eb749dbadc39eb1c8a242ddcad5a95d4075aaa9ba0edb5cf93c3005,,,,,,,pending
v21_train_registry_vital_statistics,public_train_v2_1,vital statistics subject index,registry_id,known,3,f0be8a5492ad16d4322ec92e3f05e08c6ab69e229d33d1c3d038f191dd8080e7,,,,,,,pending
