candidate_set,phrase_family,predicted_relation,reject_reason,route_status,row_id,sample_type,split,target_relation,variant
city_code,v21_locked_registry_heritage_deposit,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_heritage_deposit:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-2,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_heritage_deposit,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_heritage_deposit:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-3,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_judicial_estate,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_judicial_estate:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-3,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_professional_license,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_professional_license:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-0,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_professional_license,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_professional_license:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-1,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_property_deed,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_property_deed:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-3,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_property_deed,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_property_deed:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-0,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_property_deed,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_property_deed:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-1,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_property_deed,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_property_deed:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-2,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_public_trust,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_public_trust:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-0,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_public_trust,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_public_trust:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-2,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_public_trust,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_public_trust:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-3,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_civil_certificate,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_civil_certificate:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-1,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_civil_certificate,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_civil_certificate:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-3,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_registry_civil_certificate,access_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_civil_certificate:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-0,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_voter_subject,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_voter_subject:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-0,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_corporate_reception,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_corporate_reception:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-3,known,public_locked_audit_v2_1,registry_id,R0
city_code,v21_locked_registry_corporate_reception,city_code,,accept,public_locked_audit_v2_1:registry_id:v21_locked_registry_corporate_reception:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-1,known,public_locked_audit_v2_1,registry_id,R0
access_code,v21_locked_city_neighborhood_survey,access_code,,accept,public_locked_audit_v2_1:city_code:v21_locked_city_neighborhood_survey:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-0,known,public_locked_audit_v2_1,city_code,R0
city_code,v21_locked_ambiguous_borough_archive_token,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_borough_archive_token:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
registry_id,v21_locked_ambiguous_borough_archive_token,registry_id,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_borough_archive_token:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_borough_archive_token,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_borough_archive_token:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_borough_archive_token,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_borough_archive_token:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_civic_gateway_code,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_civic_gateway_code:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
registry_id,v21_locked_ambiguous_civic_gateway_code,registry_id,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_civic_gateway_code:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_civic_gateway_code,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_civic_gateway_code:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_civic_gateway_code,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_civic_gateway_code:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_town_dossier_key,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_town_dossier_key:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_town_dossier_key,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_town_dossier_key:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_town_dossier_key,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_town_dossier_key:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_town_dossier_key,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_town_dossier_key:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_protected_registry_reference,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_protected_registry_reference:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_protected_registry_reference,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_protected_registry_reference:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_protected_registry_reference,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_protected_registry_reference:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_protected_registry_reference,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_protected_registry_reference:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_municipality_ledger_marker,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_municipality_ledger_marker:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_municipality_ledger_marker,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_municipality_ledger_marker:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_municipality_ledger_marker,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_municipality_ledger_marker:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_municipality_ledger_marker,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_municipality_ledger_marker:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_authority_map_credential,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_authority_map_credential:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_authority_map_credential,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_authority_map_credential:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_authority_map_credential,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_authority_map_credential:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_authority_map_credential,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_authority_map_credential:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_district_roster_serial,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_district_roster_serial:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_district_roster_serial,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_district_roster_serial:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_district_roster_serial,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_district_roster_serial:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
access_code,v21_locked_ambiguous_district_roster_serial,access_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_district_roster_serial:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_city_filing_identifier,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_city_filing_identifier:public_locked_audit_v2_1-frame-0:public_locked_audit_v2_1-entity-3,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_city_filing_identifier,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_city_filing_identifier:public_locked_audit_v2_1-frame-1:public_locked_audit_v2_1-entity-0,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_city_filing_identifier,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_city_filing_identifier:public_locked_audit_v2_1-frame-2:public_locked_audit_v2_1-entity-1,ambiguous,public_locked_audit_v2_1,,R0
city_code,v21_locked_ambiguous_city_filing_identifier,city_code,,accept,public_locked_audit_v2_1:ambiguous:v21_locked_ambiguous_city_filing_identifier:public_locked_audit_v2_1-frame-3:public_locked_audit_v2_1-entity-2,ambiguous,public_locked_audit_v2_1,,R0
