access_code_score,candidate_set,city_code_score,registry_id_score,row_id,split,variant
0.1,registry_id,0.1,0.9,smoke-known-0,synthetic_smoke,R3
0.1,city_code,0.9,0.1,smoke-known-1,synthetic_smoke,R3
0.9,access_code,0.1,0.1,smoke-known-2,synthetic_smoke,R3
0.1,registry_id,0.1,0.9,smoke-known-3,synthetic_smoke,R3
0.1,city_code,0.9,0.1,smoke-known-4,synthetic_smoke,R3
0.9,access_code,0.1,0.1,smoke-known-5,synthetic_smoke,R3
0.78,access_code|city_code|registry_id,0.79,0.8,smoke-ambiguous-0,synthetic_smoke,R3
0.78,access_code|city_code|registry_id,0.79,0.8,smoke-ambiguous-1,synthetic_smoke,R3
0.78,access_code|city_code|registry_id,0.79,0.8,smoke-ambiguous-2,synthetic_smoke,R3
0.78,access_code|city_code|registry_id,0.79,0.8,smoke-ambiguous-3,synthetic_smoke,R3
0.78,access_code|city_code|registry_id,0.79,0.8,smoke-ambiguous-4,synthetic_smoke,R3
0.78,access_code|city_code|registry_id,0.79,0.8,smoke-ambiguous-5,synthetic_smoke,R3
0.05,,0.05,0.05,smoke-unrelated-0,synthetic_smoke,R3
0.05,,0.05,0.05,smoke-unrelated-1,synthetic_smoke,R3
0.05,,0.05,0.05,smoke-unrelated-2,synthetic_smoke,R3
0.05,,0.05,0.05,smoke-unrelated-3,synthetic_smoke,R3
0.05,,0.05,0.05,smoke-unrelated-4,synthetic_smoke,R3
0.05,,0.05,0.05,smoke-unrelated-5,synthetic_smoke,R3
