category,cross_entity_access_delta,cross_relation_access_delta,expected_reason,expected_status,memory_access_delta,observed_reason,observed_status,passed,scenario_id
positive,0,0,,accept,1,,accept,True,valid_registry_capability
positive,0,0,,accept,1,,accept,True,valid_city_capability
positive,0,0,,accept,1,,accept,True,valid_access_capability
key_rotation,0,0,,accept,1,,accept,True,rotated_key_capability
replay,0,0,,accept,1,,accept,True,replay_first_use
replay,0,0,replay,reject,0,replay,reject,True,replay_second_use
scope,0,0,relation_mismatch,reject,0,relation_mismatch,reject,True,wrong_relation
scope,0,0,relation_mismatch,reject,0,relation_mismatch,reject,True,cross_relation_use
scope,0,0,entity_scope_mismatch,reject,0,entity_scope_mismatch,reject,True,wrong_entity
scope,0,0,entity_scope_mismatch,reject,0,entity_scope_mismatch,reject,True,cross_entity_use
identity,0,0,subject_mismatch,reject,0,subject_mismatch,reject,True,wrong_subject
time,0,0,expired,reject,0,expired,reject,True,expired_token
time,0,0,not_yet_valid,reject,0,not_yet_valid,reject,True,not_yet_valid_token
revocation,0,0,revoked_token,reject,0,revoked_token,reject,True,revoked_token
key_rotation,0,0,revoked_key,reject,0,revoked_key,reject,True,revoked_key
key_rotation,0,0,unknown_key,reject,0,unknown_key,reject,True,unknown_key_id
integrity,0,0,bad_signature,reject,0,bad_signature,reject,True,tampered_payload
integrity,0,0,bad_signature,reject,0,bad_signature,reject,True,tampered_signature
integrity,0,0,invalid_token,reject,0,invalid_token,reject,True,algorithm_confusion
malformed,0,0,invalid_token,reject,0,invalid_token,reject,True,malformed_token
malformed,0,0,invalid_token,reject,0,invalid_token,reject,True,oversized_token
issuance,0,0,invalid_request,reject,0,invalid_request,reject,True,missing_scope
issuance,0,0,unauthorized_grant,reject,0,unauthorized_grant,reject,True,missing_permission
policy,0,0,policy_version_mismatch,reject,0,policy_version_mismatch,reject,True,old_policy_version
router_outside_tcb,0,0,router_proposal_not_authorized,reject,0,router_proposal_not_authorized,reject,True,unauthorized_router_proposal
