category,concurrent_double_release_count,decrypt_attempt_delta,expected_reason,expected_status,memory_lookup_delta,migration_decrypt_attempt_delta,observed_reason,observed_status,passed,plaintext_recorded,plaintext_release_delta,record_id,replay_rejection_count,scenario_id,successful_record_migration_delta,successful_release_count,value_digest,value_digest_count,value_released
positive,,1,,accept,1,0,,accept,True,,1,record-a-registry,,valid_registry_release,0,,90e04cd9335370b78c45262962d68f9d5b29f9f1ddcde423be82c23d5c77fe4f,,True
positive,,1,,accept,1,0,,accept,True,,1,record-b-city,,valid_city_release,0,,d105c7bde40f3ed998b5f45c28dd24b0620b64f824adc557e471607d7c20a0a2,,True
positive,,1,,accept,1,0,,accept,True,,1,record-c-access,,valid_access_release,0,,e9dcceae8ea31c94165b24b4d4797e81f89cccefd1efacca9d2d3689facb932b,,True
key_rotation,,1,,accept,1,0,,accept,True,,1,record-e-city,,new_active_data_key_record,0,,cae7ebb25a0a0e18922969a3db3bf2a821c2c9e514b91696817b23e216b8a4e1,,True
key_rotation,,1,,accept,1,0,,accept,True,,1,record-a-registry,,retained_old_data_key_record,0,,05e399fe33bacbe08eeb3cfa5912375c5fc61dd969d926356cf098842c88b3ab,,True
record_migration,,1,,accept,1,1,,accept,True,,1,record-a-registry,,migrated_record,1,,f8511bd8a783496e4b208b72f3331267240dd49d9a77066bf647980d83625f5b,,True
multi_entity_scope,,1,,accept,1,0,,accept,True,,1,record-a-registry,,multi_scope_entity_a,0,,086090178ad2f95648e856560895f7bc6f59164b7ef6986da3e29d889802216b,,True
multi_entity_scope,,1,,accept,1,0,,accept,True,,1,record-d-registry,,multi_scope_entity_d,0,,96073128d96b4d0bf7bc3dd1b403f4abca2b087b9635df2aa5656c8ed7ea72fe,,True
single_use,,1,,accept,1,0,,accept,True,,1,record-a-registry,,single_use_first_release,0,,46a4c4a4519eda95e8125924e06643dc15dde8c2e2f53a2a996fb27189620c8c,,True
authorization_negative,,0,invalid_session,reject,0,0,invalid_session,reject,True,,0,,,invalid_session,0,,,,False
authorization_negative,,0,principal_mismatch,reject,0,0,principal_mismatch,reject,True,,0,,,wrong_principal,0,,,,False
authorization_negative,,0,subject_mismatch,reject,0,0,subject_mismatch,reject,True,,0,,,wrong_subject,0,,,,False
authorization_negative,,0,entity_scope_mismatch,reject,0,0,entity_scope_mismatch,reject,True,,0,,,wrong_entity,0,,,,False
authorization_negative,,0,relation_mismatch,reject,0,0,relation_mismatch,reject,True,,0,,,wrong_relation,0,,,,False
authorization_negative,,0,permission_denied,reject,0,0,permission_denied,reject,True,,0,,,insufficient_permission,0,,,,False
authorization_negative,,0,expired,reject,0,0,expired,reject,True,,0,,,expired_capability,0,,,,False
authorization_negative,,0,not_yet_valid,reject,0,0,not_yet_valid,reject,True,,0,,,not_yet_valid_capability,0,,,,False
authorization_negative,,0,revoked_token,reject,0,0,revoked_token,reject,True,,0,,,revoked_capability,0,,,,False
authorization_negative,,0,replay,reject,0,0,replay,reject,True,,0,,,replayed_capability,0,,,,False
authorization_negative,,0,revoked_key,reject,0,0,revoked_key,reject,True,,0,,,revoked_signing_key,0,,,,False
authorization_negative,,0,router_proposal_not_authorized,reject,0,0,router_proposal_not_authorized,reject,True,,0,,,unauthorized_router_proposal,0,,,,False
authorization_negative,,0,forged_verified_capability,reject,0,0,forged_verified_capability,reject,True,,0,,,forged_verified_capability,0,,,,False
record_negative,,1,unknown_data_key,reject,1,0,unknown_data_key,reject,True,,0,,,unknown_data_key,0,,,,False
record_negative,,1,revoked_data_key,reject,1,0,revoked_data_key,reject,True,,0,,,revoked_data_key,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,wrong_data_key,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,ciphertext_bit_flip,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,authentication_tag_tamper,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,nonce_tamper,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,aad_record_id_tamper,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,entity_metadata_swap,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,relation_metadata_swap,0,,,,False
record_negative,,1,authentication_failed,reject,1,0,authentication_failed,reject,True,,0,,,cross_bucket_ciphertext_swap,0,,,,False
record_negative,,0,record_version_rollback,reject,1,0,record_version_rollback,reject,True,,0,,,record_version_rollback,0,,,,False
record_schema_negative,,0,invalid_record,reject,0,0,invalid_record,reject,True,,0,,,algorithm_confusion,0,,,,False
record_schema_negative,,0,invalid_record,reject,0,0,invalid_record,reject,True,,0,,,malformed_record,0,,,,False
record_schema_negative,,0,duplicate_record_id,reject,0,0,duplicate_record_id,reject,True,,0,,,duplicate_record_id,0,,,,False
concurrency,0,1,,,1,0,,,True,False,1,,1,concurrent_single_use_capability,0,1,,1,True
