active_context_count_after,additional_decrypt_attempt_count,additional_memory_lookup_count,category,completed_generation_delta,concurrent_double_generation_count,decrypt_attempt_delta,expected_reason,expected_status,failure_plaintext_exposure_count,g0_invocation_delta,g1_invocation_delta,generator_failure_delta,generator_invocation_delta,memory_lookup_delta,migration_decrypt_attempt_delta,observed_reason,observed_status,output_delivered,output_digest,passed,plaintext_recorded,plaintext_release_delta,prior_value_digest_only,prior_value_exposure_count,public_response_delta,replay_rejection_count,scenario_id,scope_expansion_count,setup_authorized_generation_count,setup_exact_delivery_count,successful_output_count,successful_output_delta,successful_record_migration_delta,validation_failure_delta
0,,,positive,1,,1,,accept,,1,0,0,1,1,0,,accept,True,71459a502305215a93ac21633699ad173d3217a5d972f180788cd9c3d706ee35,True,False,1,,,0,,g0_registry_delivery,,,,,1,0,0
0,,,positive,1,,1,,accept,,1,0,0,1,1,0,,accept,True,e4cc7e422a0a02ce7f7f7092322043f92166ff408ccca6ecb4e2e908d7187d2c,True,False,1,,,0,,g0_city_delivery,,,,,1,0,0
0,,,positive,1,,1,,accept,,1,0,0,1,1,0,,accept,True,8aab9ecdb5d78aa3b68f1336423a5d68d13ccfad48325cd4688c61cadb26b088,True,False,1,,,0,,g0_access_delivery,,,,,1,0,0
0,,,positive,1,,1,,accept,,0,1,0,1,1,0,,accept,True,ad5cb2cc7be14f0879726224c77f9b844bf78f4da8edc31100c5db7e0f68104d,True,False,1,,,0,,g1_registry_exact_copy,,,,,1,0,0
0,,,positive,1,,1,,accept,,0,1,0,1,1,0,,accept,True,dee04c8e1b6af4fa08826881bdaf49a294c855052d2df3072618c66a146d6127,True,False,1,,,0,,g1_city_exact_copy,,,,,1,0,0
0,,,positive,1,,1,,accept,,0,1,0,1,1,0,,accept,True,7587bf049ed52ea6be53de0abc3148873f88b9165daa5e0026c9fda821c472ed,True,False,1,,,0,,g1_access_exact_copy,,,,,1,0,0
0,,,positive,1,,1,,accept,,1,0,0,1,1,0,,accept,True,0ab04ce48bfe2429565077cfd3fa355eecd17d26ced2b272b69b59f6a98c5d2e,True,False,1,,,0,,rotated_data_key_delivery,,,,,1,0,0
0,,,positive,1,,1,,accept,,1,0,0,1,1,0,,accept,True,b7629e78df929b48c3f28e5fda3a554da6e406316a40f73b1219fc2712d90d3f,True,False,1,,,0,,migrated_record_delivery,,,,,1,0,0
0,,,positive,1,,1,,accept,,1,0,0,1,1,0,,accept,True,d38ad7b732acd6731cca46e3fe63ca230a34ddc92e186678a9f0c3ccfc7f06f2,True,False,1,,,0,,multi_scope_entity_a_delivery,,,,,1,0,0
0,,,positive,1,,1,,accept,,1,0,0,1,1,0,,accept,True,3dd73d29c4362db0af71c36328ef992da1f9bc8c8e3c28c54472bef1e4002fbe,True,False,1,,,0,,multi_scope_entity_d_delivery,,,,,1,0,0
0,,,positive,1,,1,,accept,,0,1,0,1,1,0,,accept,True,e25b98f3d51fcc34dd0405b322a1224907adfe8e3788b43d007c5cfd5e5e8b7a,True,False,1,,,0,,single_use_first_generation,,,,,1,0,0
0,,,unauthorized,0,,0,subject_mismatch,reject,,0,0,0,0,0,0,subject_mismatch,reject,False,,True,False,0,,,0,,wrong_subject,,,,,0,0,0
0,,,unauthorized,0,,0,entity_scope_mismatch,reject,,0,0,0,0,0,0,entity_scope_mismatch,reject,False,,True,False,0,,,0,,wrong_entity,,,,,0,0,0
0,,,unauthorized,0,,0,relation_mismatch,reject,,0,0,0,0,0,0,relation_mismatch,reject,False,,True,False,0,,,0,,wrong_relation,,,,,0,0,0
0,,,unauthorized,0,,0,expired,reject,,0,0,0,0,0,0,expired,reject,False,,True,False,0,,,0,,expired_capability,,,,,0,0,0
0,,,unauthorized,0,,0,revoked_token,reject,,0,0,0,0,0,0,revoked_token,reject,False,,True,False,0,,,0,,revoked_capability,,,,,0,0,0
