core_dump_enabled,has_gateway_endpoint,has_generator_endpoint,has_memory_endpoint,holds_capability_hmac_key,holds_data_encryption_key,holds_release_ticket_key,role,scenario_root,secret_in_command_line,secret_in_environment
False,False,False,False,False,False,False,generator,s00,False,False
False,True,True,False,False,True,True,memory,s00,False,False
False,False,False,True,True,False,True,gateway,s00,False,False
False,False,False,False,False,False,False,generator,s01,False,False
False,True,True,False,False,True,True,memory,s01,False,False
False,False,False,True,True,False,True,gateway,s01,False,False
False,False,False,False,False,False,False,generator,s02,False,False
False,True,True,False,False,True,True,memory,s02,False,False
False,False,False,True,True,False,True,gateway,s02,False,False
False,False,False,False,False,False,False,generator,s03,False,False
False,True,True,False,False,True,True,memory,s03,False,False
False,False,False,True,True,False,True,gateway,s03,False,False
False,False,False,False,False,False,False,generator,s04,False,False
False,True,True,False,False,True,True,memory,s04,False,False
False,False,False,True,True,False,True,gateway,s04,False,False
False,False,False,False,False,False,False,generator,s05,False,False
False,True,True,False,False,True,True,memory,s05,False,False
False,False,False,True,True,False,True,gateway,s05,False,False
False,False,False,False,False,False,False,generator,s05,False,False
False,False,False,False,False,False,False,generator,s06,False,False
False,True,True,False,False,True,True,memory,s06,False,False
False,False,False,True,True,False,True,gateway,s06,False,False
False,False,False,False,False,False,False,generator,s07,False,False
False,True,True,False,False,True,True,memory,s07,False,False
False,False,False,True,True,False,True,gateway,s07,False,False
False,False,False,False,False,False,False,generator,s08,False,False
False,True,True,False,False,True,True,memory,s08,False,False
False,False,False,True,True,False,True,gateway,s08,False,False
False,False,False,False,False,False,False,generator,s09,False,False
False,True,True,False,False,True,True,memory,s09,False,False
False,False,False,True,True,False,True,gateway,s09,False,False
False,False,False,False,False,False,False,generator,s10,False,False
False,True,True,False,False,True,True,memory,s10,False,False
False,False,False,True,True,False,True,gateway,s10,False,False
False,False,False,False,False,False,False,generator,s11,False,False
False,True,True,False,False,True,True,memory,s11,False,False
False,False,False,True,True,False,True,gateway,s11,False,False
False,False,False,False,False,False,False,generator,s12,False,False
False,True,True,False,False,True,True,memory,s12,False,False
False,False,False,True,True,False,True,gateway,s12,False,False
False,False,False,False,False,False,False,generator,s13,False,False
False,True,True,False,False,True,True,memory,s13,False,False
False,False,False,False,False,False,False,generator,s14,False,False
False,True,True,False,False,True,True,memory,s14,False,False
False,False,False,False,False,False,False,generator,s15,False,False
False,True,True,False,False,True,True,memory,s15,False,False
False,False,False,True,True,False,True,gateway,s15,False,False
False,False,False,False,False,False,False,generator,s16,False,False
False,True,True,False,False,True,True,memory,s16,False,False
False,False,False,True,True,False,True,gateway,s16,False,False
False,False,False,True,True,False,True,gateway,s16,False,False
False,False,False,False,False,False,False,generator,s17,False,False
False,True,True,False,False,True,True,memory,s17,False,False
False,False,False,True,True,False,True,gateway,s17,False,False
False,False,False,True,True,False,True,gateway,s17,False,False
False,False,False,False,False,False,False,generator,s18,False,False
False,True,True,False,False,True,True,memory,s18,False,False
False,False,False,True,True,False,True,gateway,s18,False,False
False,True,True,False,False,True,True,memory,s18,False,False
False,False,False,False,False,False,False,generator,s19,False,False
False,True,True,False,False,True,True,memory,s19,False,False
False,False,False,True,True,False,True,gateway,s19,False,False
False,False,False,False,False,False,False,generator,s19,False,False
False,False,False,False,False,False,False,generator,s20,False,False
False,True,True,False,False,True,True,memory,s20,False,False
False,False,False,True,True,False,True,gateway,s20,False,False
False,False,False,True,True,False,True,gateway,s20,False,False
False,False,False,False,False,False,False,generator,s21,False,False
False,True,True,False,False,True,True,memory,s21,False,False
False,False,False,True,True,False,True,gateway,s21,False,False
False,False,False,True,True,False,True,gateway,s21,False,False
False,False,False,False,False,False,False,generator,s22,False,False
False,True,True,False,False,True,True,memory,s22,False,False
False,True,True,False,False,True,True,memory,s22,False,False
False,False,False,False,False,False,False,generator,s23,False,False
False,True,True,False,False,True,True,memory,s23,False,False
False,False,False,True,True,False,True,gateway,s23,False,False
False,False,False,False,False,False,False,generator,s23,False,False
False,False,False,False,False,False,False,generator,s24,False,False
False,True,True,False,False,True,True,memory,s24,False,False
False,False,False,True,True,False,True,gateway,s24,False,False
False,False,False,True,True,False,True,gateway,s24,False,False
False,False,False,False,False,False,False,generator,s25,False,False
False,True,True,False,False,True,True,memory,s25,False,False
False,False,False,True,True,False,True,gateway,s25,False,False
False,False,False,True,True,False,True,gateway,s25,False,False
