category,client_output_delta,cross_instance_replay_success_count,cross_process_double_release_count,decrypt_attempt_delta,edge,exact_delivery,field_count,generation_output_delta,generator_invocation_delta,generator_to_memory_connection_count,memory_lookup_delta,observed_reason,observed_status,output_digest,passed,plaintext_recorded,plaintext_release_delta,post_restart_replay_success_count,process_exit_code,retry_reason,retry_status,scenario_id,unauthorized_memory_service_access_count,unauthorized_service_call_count
positive,1,,,1,,True,,1,1,,1,,accept,1a089554b36d6b36a6c84f643e2ed6dedfe5269066569af24f7e7c5185e372a8,True,False,1,,,,,authorized_registry_delivery,,
positive,1,,,1,,True,,1,1,,1,,accept,dfa01d69e262e55967f2629d49b784ce807cd2afd62d8b63db4e0bc2e34c2fb0,True,False,1,,,,,authorized_city_delivery,,
positive,1,,,1,,True,,1,1,,1,,accept,e0e4f9344c9f1a60c8f6c43998740cc9c4df2f962dc1bc0862b4882dfcb8a78f,True,False,1,,,,,authorized_access_delivery,,
positive,1,,,1,,True,,1,1,,1,,accept,71cc95a2172311ae18ae24d80cc7908b3348bd21d1399052f6da077b5fb2ea7f,True,False,1,,,,,multi_scope_entity_a_delivery,,
positive,1,,,1,,True,,1,1,,1,,accept,f6fb187b16c9b27189069ddeef9885ab6e17c2c0399034947258ae160c420bfe,True,False,1,,,,,multi_scope_entity_d_delivery,,
positive,1,,,1,,True,,1,1,,1,,accept,c1d36ee130044c49b6fb7b0da89f54836c4cef43d6178bd6140194c02fc4c3ee,True,False,1,,,,,authorized_after_generator_restart,,
authorization_negative,0,,,0,,,,0,0,,0,invalid_session,reject,,True,False,0,,,,,wrong_subject,0,0
authorization_negative,0,,,0,,,,0,0,,0,entity_scope_mismatch,reject,,True,False,0,,,,,wrong_entity,0,0
authorization_negative,0,,,0,,,,0,0,,0,relation_mismatch,reject,,True,False,0,,,,,wrong_relation,0,0
authorization_negative,0,,,0,,,,0,0,,0,expired,reject,,True,False,0,,,,,expired_capability,0,0
authorization_negative,0,,,0,,,,0,0,,0,revoked_token,reject,,True,False,0,,,,,revoked_capability,0,0
authorization_negative,0,,,0,,,,0,0,,0,replay,reject,,True,False,0,,,,,replayed_capability,0,0
service_boundary,0,,,0,,,,0,0,0,0,service_authentication_failed,reject,,True,False,0,,,,,client_direct_memory,0,0
service_boundary,0,,,0,,,,0,0,0,0,service_authentication_failed,reject,,True,False,0,,,,,generator_identity_to_memory,0,0
service_boundary,0,,,0,,,,0,0,0,0,service_authentication_failed,reject,,True,False,0,,,,,wrong_service_identity,0,0
service_boundary,0,,,0,,,,0,0,0,0,,accept,,True,False,0,,,,,generator_has_no_capability_authority_channel,0,0
service_boundary,0,,,0,,,,0,0,0,0,invalid_service_identity,reject,,True,False,0,,,,,unregistered_gateway_ticket,0,0
service_boundary,0,,,0,,,,0,0,0,0,bad_ticket_signature,reject,,True,False,0,,,,,forged_ticket_signature,0,0
service_boundary,0,,,0,,,,0,0,0,0,invalid_message,reject,,True,False,0,,,,,forged_ipc_message,0,0
service_boundary,0,,,0,,,,0,0,0,0,expired_ticket,reject,,True,False,0,,,,,expired_internal_ticket,0,0
service_boundary,0,,,0,,,,0,0,0,0,replayed_ticket,reject,,True,False,0,,,,,duplicate_internal_ticket,0,0
service_boundary,0,,,0,,,,0,0,0,0,out_of_order_ticket,reject,,True,False,0,,,,,out_of_order_internal_ticket,0,0
ipc_minimization,0,,,0,client_to_gateway,,5,0,0,,0,,accept,,True,False,0,,,,,client_to_gateway_minimal_schema,,
ipc_minimization,0,,,0,gateway_to_memory,,3,0,0,,0,,accept,,True,False,0,,,,,gateway_to_memory_minimal_schema,,
ipc_minimization,0,,,0,memory_to_generator,,5,0,0,,0,,accept,,True,False,0,,,,,memory_to_generator_minimal_schema,,
crash,0,,0,0,,,,0,0,,0,upstream_unavailable,reject,,True,False,0,,86,replay,reject,crash_before_capability_consume,,
crash,0,,0,0,,,,0,0,,0,upstream_unavailable,reject,,True,False,0,,86,replay,reject,crash_after_capability_consume_before_lookup,,
crash,0,,0,1,,,,0,0,,1,upstream_unavailable,reject,,True,False,1,,86,replay,reject,crash_after_decrypt_before_generator,,
crash,0,,0,1,,,,0,1,,1,upstream_unavailable,reject,,True,False,1,,86,replay,reject,crash_after_generator_receive_before_output,,
crash,0,,0,1,,,,1,1,,1,upstream_unavailable,reject,,True,False,1,,86,replay,reject,crash_after_output_before_response,,
multi_instance,1,0,0,1,,,,1,1,,1,,accept,,True,False,1,,,,,two_gateways_same_capability,,
multi_instance,0,0,0,1,,,,1,1,,1,,accept,,True,False,1,,,,,two_memories_same_ticket,,
multi_instance,1,0,0,2,,,,1,2,,2,,accept,0fe886c1c89e10f499b3ef2e98dbde3d37ca1279000bc776b1ca6ad292c8940e,True,False,2,,,,,generator_crash_requires_new_capability,,
multi_instance,0,0,0,0,,,,0,0,,0,replay,reject,,True,False,0,0,,,,post_restart_replay_rejected,,
multi_instance,0,0,0,0,,,,0,0,,0,revoked_token,reject,,True,False,0,0,,,,post_restart_revocation_preserved,,
