channel,contains_plaintext,contains_token_or_key,event_count,sha256,size_bytes
audit,False,False,1,3e0558a3d094ba064b225445cfe44c03889be807921da9fe1b4660f0d8667ba4,92
debug,False,False,1,c5ec3b85df402aeb14e576627ada6239a470d1fb7b52c07ff96bd7629ef18d92,81
error_report,False,False,1,5d595a11285da082ad82f0a3037e85e911c65137760f5472c6ae459f4ead95a3,99
health,False,False,1,34d173d945209dd7c95880190271b26b3b1d68cb4e82935a3b9005f942cd1fc7,77
metric,False,False,1,c8aec1aefc3715aadef62ada74e71ea93b64efeb56361b61e2f46acadf386333,93
profile,False,False,1,a87eeaf80b81a3012b56887ccf30b4b75411f8e1bc37201d7b06c180c2985f3d,94
retry_queue,False,False,1,23eb7e2f55ac016f68c4821527a55caded088be140edcd3f89a1060d03459c3d,98
structured_log,False,False,1,d838819e26c94fc4112fe402a9d0402ad27aee503139f03dfbf0e146fa45bc99,101
supervisor,False,False,1,1ea5aa894fd2a6051b9af0fae910f9d4fa1be4b1b59420024ad17b85eea5b17a,97
trace,False,False,2,e930a4522d4f6e971b4f7d2d7bddf922be69a58b25704ddab88bfa2c5fb6d79d,184
