split,variant,case_count,oracle_allow_case_count,oracle_deny_case_count,authority_amplification_count,unauthorized_action_count,cross_subject_capability_count,cross_tenant_capability_count,cross_resource_capability_count,cross_action_capability_count,cross_relation_capability_count,cross_purpose_capability_count,explicit_deny_bypass_count,stale_policy_acceptance_count,invalid_witness_acceptance_count,tampered_capability_acceptance_count,forged_signature_acceptance_count,compositional_authority_amplification_count,multi_step_forbidden_effect_acceptance_count,workflow_state_replay_acceptance_count,workflow_state_fork_acceptance_count,semantic_proposal_direct_execution_count,silent_scope_narrowing_count,partial_execution_without_confirmation_count,compiler_determinism_failure_count,capability_verification_failure_on_valid_count,authority_amplification_rate,unauthorized_action_rate,clean_allow_exact_execution_rate,safe_utility,recoverable_safe_utility,authorized_authority_preservation_rate,unnecessary_rejection_rate,confirmation_required_rate,correct_confirmation_rate,deny_precision,deny_recall,compile_latency_p50_ms,compile_latency_p95_ms,verify_latency_p50_ms,verify_latency_p95_ms,capability_size_mean_bytes,capability_size_p95_bytes,witness_size_mean_bytes,workflow_state_size_mean_bytes
development,A0,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.112691,0.518621,0.530071,0.629195,1486.3333333333333,1488.0,842.0,0.0
development,A1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.11255,0.517228,0.537871,0.618162,1486.3333333333333,1488.0,842.0,656.0
development,B0,360,108,252,360,360,0,30,216,198,0,0,192,30,0,0,0,30,30,0,0,360,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001376,0.001744,0.0,0.0,0.0,0.0,0.0,0.0
development,B1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,1.0,0.001883,0.002282,0.0,0.0,0.0,0.0,0.0,0.0
development,B2,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.020643,0.04674,0.0,0.0,0.0,0.0,0.0,0.0
development,B3,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.019968,0.044083,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,A0,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.109697,0.484021,0.522269,0.607101,1486.3333333333333,1488.0,842.0,0.0
locked_test,A1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.121568,0.565026,0.585625,0.683038,1486.3333333333333,1488.0,842.0,656.0
locked_test,B0,360,108,252,360,360,0,30,216,198,0,0,192,30,0,0,0,30,30,0,0,360,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001348,0.001646,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,B1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,1.0,0.001812,0.002113,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,B2,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.019417,0.044469,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,B3,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.019401,0.041302,0.0,0.0,0.0,0.0,0.0,0.0
