split,variant,case_count,oracle_allow_case_count,oracle_deny_case_count,authority_amplification_count,unauthorized_action_count,cross_subject_capability_count,cross_tenant_capability_count,cross_resource_capability_count,cross_action_capability_count,cross_relation_capability_count,cross_purpose_capability_count,explicit_deny_bypass_count,stale_policy_acceptance_count,invalid_witness_acceptance_count,tampered_capability_acceptance_count,forged_signature_acceptance_count,compositional_authority_amplification_count,multi_step_forbidden_effect_acceptance_count,workflow_state_replay_acceptance_count,workflow_state_fork_acceptance_count,semantic_proposal_direct_execution_count,silent_scope_narrowing_count,partial_execution_without_confirmation_count,compiler_determinism_failure_count,capability_verification_failure_on_valid_count,authority_amplification_rate,unauthorized_action_rate,clean_allow_exact_execution_rate,safe_utility,recoverable_safe_utility,authorized_authority_preservation_rate,unnecessary_rejection_rate,confirmation_required_rate,correct_confirmation_rate,deny_precision,deny_recall,compile_latency_p50_ms,compile_latency_p95_ms,verify_latency_p50_ms,verify_latency_p95_ms,capability_size_mean_bytes,capability_size_p95_bytes,witness_size_mean_bytes,workflow_state_size_mean_bytes,selected_capability_ttl_seconds,selected_maximum_capability_bytes,safety_invariant_tuned
calibration,A0,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.109171,0.47503,0.518954,0.568152,1486.3333333333333,1488.0,842.0,0.0,300,8192,False
calibration,A1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.110675,0.494311,0.524366,0.597588,1486.3333333333333,1488.0,842.0,656.0,300,8192,False
calibration,B0,360,108,252,360,360,0,30,216,198,0,0,192,30,0,0,0,30,30,0,0,360,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001316,0.001545,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
calibration,B1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,1.0,0.001866,0.002153,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
calibration,B2,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.019023,0.042042,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
calibration,B3,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.019181,0.040726,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
train,A0,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.11172,0.517287,0.518612,0.646482,1486.3333333333333,1488.0,842.0,0.0,300,8192,False
train,A1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.110179,0.485343,0.52087,0.581091,1486.3333333333333,1488.0,842.0,656.0,300,8192,False
train,B0,360,108,252,360,360,0,30,216,198,0,0,192,30,0,0,0,30,30,0,0,360,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001359,0.001652,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
train,B1,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,1.0,0.001838,0.002152,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
train,B2,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.019465,0.041034,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
train,B3,360,108,252,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.019286,0.040824,0.0,0.0,0.0,0.0,0.0,0.0,300,8192,False
