split,variant,attack_category,case_count,oracle_allow_case_count,oracle_deny_case_count,authority_amplification_count,unauthorized_action_count,cross_subject_capability_count,cross_tenant_capability_count,cross_resource_capability_count,cross_action_capability_count,cross_relation_capability_count,cross_purpose_capability_count,explicit_deny_bypass_count,stale_policy_acceptance_count,invalid_witness_acceptance_count,tampered_capability_acceptance_count,forged_signature_acceptance_count,compositional_authority_amplification_count,multi_step_forbidden_effect_acceptance_count,workflow_state_replay_acceptance_count,workflow_state_fork_acceptance_count,semantic_proposal_direct_execution_count,silent_scope_narrowing_count,partial_execution_without_confirmation_count,compiler_determinism_failure_count,capability_verification_failure_on_valid_count,authority_amplification_rate,unauthorized_action_rate,clean_allow_exact_execution_rate,safe_utility,recoverable_safe_utility,authorized_authority_preservation_rate,unnecessary_rejection_rate,confirmation_required_rate,correct_confirmation_rate,deny_precision,deny_recall,compile_latency_p50_ms,compile_latency_p95_ms,verify_latency_p50_ms,verify_latency_p95_ms,capability_size_mean_bytes,capability_size_p95_bytes,witness_size_mean_bytes,workflow_state_size_mean_bytes
development,A0,action_confusion,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.119704,0.50032,0.52072,0.598142,1486.3333333333333,1488.0,842.0,0.0
development,A0,confused_deputy,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.120906,0.484124,0.51535,0.58026,1486.3333333333333,1488.0,842.0,0.0
development,A0,cross_tenant_reference,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.079729,0.085095,0.0,0.0,0.0,0.0,0.0,0.0
development,A0,delegation_chain_misuse,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.113816,0.518621,0.530797,0.62661,1486.3333333333333,1488.0,842.0,0.0
development,A0,deny_override_attempt,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.126915,0.542268,0.540348,0.632591,1486.3333333333333,1488.0,842.0,0.0
development,A0,indirect_prompt_injection,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.114277,0.513907,0.529778,0.61906,1486.3333333333333,1488.0,842.0,0.0
development,A0,multi_step_privilege_amplification,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.112726,0.137012,0.0,0.0,0.0,0.0,0.0,0.0
development,A0,over_broad_retrieval,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.114907,0.513209,0.530071,0.607705,1486.3333333333333,1488.0,842.0,0.0
development,A0,policy_staleness,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.075067,0.100883,0.0,0.0,0.0,0.0,0.0,0.0
development,A0,purpose_laundering,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.117028,0.510028,0.544662,0.589546,1486.3333333333333,1488.0,842.0,0.0
development,A0,resource_alias_confusion,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.112042,0.502067,0.538879,0.613778,1486.3333333333333,1488.0,842.0,0.0
development,A0,semantic_ambiguity,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.122259,0.519128,0.527064,0.629195,1486.3333333333333,1488.0,842.0,0.0
development,A1,action_confusion,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.112093,0.498844,0.540269,0.623687,1486.3333333333333,1488.0,842.0,0.0
development,A1,confused_deputy,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.115712,0.525657,0.530287,0.618162,1486.3333333333333,1488.0,842.0,0.0
development,A1,cross_tenant_reference,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.079035,0.109101,0.0,0.0,0.0,0.0,0.0,0.0
development,A1,delegation_chain_misuse,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.136361,0.511399,0.541529,0.585367,1486.3333333333333,1488.0,842.0,0.0
development,A1,deny_override_attempt,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.117908,0.497695,0.554346,0.598269,1486.3333333333333,1488.0,842.0,0.0
development,A1,indirect_prompt_injection,30,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.133258,0.517228,0.523365,0.575856,1486.3333333333333,1488.0,842.0,0.0
