split,variant,compile_latency_p50_ms,compile_latency_p95_ms,verify_latency_p50_ms,verify_latency_p95_ms,capability_size_mean_bytes,capability_size_p95_bytes,witness_size_mean_bytes,workflow_state_size_mean_bytes
development,A0,0.112691,0.518621,0.530071,0.629195,1486.3333333333333,1488.0,842.0,0.0
development,A1,0.11255,0.517228,0.537871,0.618162,1486.3333333333333,1488.0,842.0,656.0
development,B0,0.001376,0.001744,0.0,0.0,0.0,0.0,0.0,0.0
development,B1,0.001883,0.002282,0.0,0.0,0.0,0.0,0.0,0.0
development,B2,0.020643,0.04674,0.0,0.0,0.0,0.0,0.0,0.0
development,B3,0.019968,0.044083,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,A0,0.109697,0.484021,0.522269,0.607101,1486.3333333333333,1488.0,842.0,0.0
locked_test,A1,0.121568,0.565026,0.585625,0.683038,1486.3333333333333,1488.0,842.0,656.0
locked_test,B0,0.001348,0.001646,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,B1,0.001812,0.002113,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,B2,0.019417,0.044469,0.0,0.0,0.0,0.0,0.0,0.0
locked_test,B3,0.019401,0.041302,0.0,0.0,0.0,0.0,0.0,0.0
