abstract_counterexample_digest,case_id,finding_kind,iteration,model_after_digest,model_before_digest,query_id,refinement_patch_digest,remaining_unknown_query_count,replay_result_digest,shield_after_digest,shield_before_digest,split
31784eecb6dfdaa4c6ec47e5003fe26872955714d8be75b3dbe14f046bedcb36,f2b-train-0001,spurious_abstraction,1,2a159b54c2badbabec7e86ccd5fea888a86e24291549ac81d5be37746eaf2208,acdfd9181c653d43809865a93e68635b1152391bd1583f6b0a52eb254d4556e6,q-f2b-train-0001-0,21cb7d8a0c28ccd7b01490e8f8a7e96282973875caf62483572e1cee31a752b8,3,1d96305a8a2569eeeaeb254aefc3c75bb44b6222a92823c8028fb8bf2873a36f,ad108eaee034ada683979af8c243339c73b3fad3dfd3ed6ed6c4c9d57fc40978,ad108eaee034ada683979af8c243339c73b3fad3dfd3ed6ed6c4c9d57fc40978,train
7fc643f08f5ef7c75553bc4a62bfbd174ee3a782062e73c1dad6260ab10943ab,f2b-train-0001,spurious_abstraction,2,b75d8a0ddec3a4c46d09ff7111b705ecadc67f48f83a27d2bb0b75cf8a59de5f,2a159b54c2badbabec7e86ccd5fea888a86e24291549ac81d5be37746eaf2208,q-f2b-train-0001-1,9927719f2576be68ff7320086fb452cd56ae80ca978e9f65d445f18c46226246,2,2e10c37f4e54b519322f9bae9476f00726f20e4208c90ea913a3853197a29d60,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,ad108eaee034ada683979af8c243339c73b3fad3dfd3ed6ed6c4c9d57fc40978,train
b9c6fcdc4683da3d65d57a78198c655df3cb228c7f8bd4fdc28a2f991b4d3fd9,f2b-train-0001,spurious_abstraction,3,c2263d0ae8f98f06b926153bc5950ff424fbed55f4a280e1ed22edd0f9860338,b75d8a0ddec3a4c46d09ff7111b705ecadc67f48f83a27d2bb0b75cf8a59de5f,q-f2b-train-0001-2,984943673da95938628f2fb963683fc2f98af95c615234eae92cfde5da8e7501,1,afef12ca21ab54f6cdce2da257ff13c21f0988668cf74a271c74c44cc98c90fb,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,train
522f3593fdc455e8eefbe0203d0509ac121aa6a1aef4a403b4cb1224e1b5415b,f2b-train-0001,real_policy_omission,4,8196865eebc9c802f93172fa25f50cb14eb0fcafa65272f939cef13786bb6182,c2263d0ae8f98f06b926153bc5950ff424fbed55f4a280e1ed22edd0f9860338,q-f2b-train-0001-3,9885e0f4c3bb2907d103a7bcac2ae017cb925ce1345bb8e8a05fcdba22468e57,0,c2c8e92527182675aa5be348085cde4839f0d0ea17d5cb303f1d543d647bf8be,3da6121a086b2f43b7ba4b272dadf93c773425626ac9935a1bbd3908a4e337cd,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,train
0fe79919fc32038af4cf2f84904635ba70455cfdc37af65d06ea8f33525cbc8d,f2b-train-0002,spurious_abstraction,1,51f0a3b3796abb265b9793c26f00adf4f71736367a6a47d1778aad7a6407be86,6ab839f77f99fc3cee474359e22019cf6f476f8208e0d73e188721b4b97ad479,q-f2b-train-0002-0,d3f9fdd5007ee3dbc20631014cbe17a76f8b460f06852e286e45aaf6fb1acab7,3,5b517416770d64a11e21d714aa31374469a3596ff89190aa854bdbf7a9299eb4,ad108eaee034ada683979af8c243339c73b3fad3dfd3ed6ed6c4c9d57fc40978,ad108eaee034ada683979af8c243339c73b3fad3dfd3ed6ed6c4c9d57fc40978,train
d579b873320f368500687256f18aa4c6e1207aa946f58904f3dcd3c671bb2ce3,f2b-train-0002,spurious_abstraction,2,92d808cb87e50f11fae346ea3866485f0042f24a3d85d5ed9291d3f33e7f4d2d,51f0a3b3796abb265b9793c26f00adf4f71736367a6a47d1778aad7a6407be86,q-f2b-train-0002-1,342844b88efab0baa578755767c823c041815253c8581c4ee2de119a1c3bf9c0,2,864ac7705ff41eb0ab42ff7b566263a65845d91eff39888c868fdede29057496,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,ad108eaee034ada683979af8c243339c73b3fad3dfd3ed6ed6c4c9d57fc40978,train
330100fcacef5ff173a46d08a0bcdbca2680c2250eec5b4b8c3cfd4e7bcc6b3e,f2b-train-0002,spurious_abstraction,3,9e05282feebff98ef8e13b1002166532dc23a8674647ba861b5b39b2a2774f78,92d808cb87e50f11fae346ea3866485f0042f24a3d85d5ed9291d3f33e7f4d2d,q-f2b-train-0002-2,4eee1733d4e89e26214d4cd4d561daf4c0cb29d4d84a56a59205338fda7c149f,1,dc5c20b931f216227a7733d6c607a7d38449cb07beb12bbefbcfe15ca02f9408,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,train
545850a7c222430f62806e50c3f80c2881aa7421e43e8d1471eb3d4f8932f852,f2b-train-0002,real_policy_omission,4,81bb339a3bc444a382d174dbc988a85b390dd9ff57b4638c07763bd3d7eaf660,9e05282feebff98ef8e13b1002166532dc23a8674647ba861b5b39b2a2774f78,q-f2b-train-0002-3,9fba4854c77d6b431204f00bbed6779b2bba13902d1635c0f48f60e80a18d6c2,0,40155e4316d689bc7e97e83b02a3dbbf0b9c993f630dad19df58d4a733062509,3da6121a086b2f43b7ba4b272dadf93c773425626ac9935a1bbd3908a4e337cd,b437f72d9fdf574a1367d74b03163a63d0ea9adfecf018c250dbf9939ecfa03d,train
26913460137aa2ba0e61c6b45ff9e67dc4f84eb897ae4d64a792ff7827577181,f2b-train-0003,real_policy_omission,1,19cb1c91b7b6ef8ba4234b5953a8d22d233c1f99438a13ce3124d888ed4bc861,a74ca9a39901b7b26bfb8ce0e5f98f2ff859d55236dccb36546df79d393ac2ad,q-f2b-train-0003-3,c7214b78224166ce47b521704a391e28a995e01b4cdf04891868e4380cdf8659,3,4fbd442942099eb0f3a1fdae243029dbee930a2da875a828faddaa3a0778d392,e31d1197e8071a5f9b27818262dedb33f07422127cd1f41d15bfc5aee7f83c93,ad108eaee034ada683979af8c243339c73b3fad3dfd3ed6ed6c4c9d57fc40978,train
3f9656b96e545be8a3eebb21398c3083f7a74d2a590852c1bff6ba84f4989761,f2b-train-0003,spurious_abstraction,2,9498dff6ff71718fc198d5abe182675d2cfdb878cada6b0d5157836b71559316,19cb1c91b7b6ef8ba4234b5953a8d22d233c1f99438a13ce3124d888ed4bc861,q-f2b-train-0003-0,89b5f7ac2f59c6d06e9193b80ed71e7babf174b234a2444216f9d01bb7ed52de,2,785808feb4c0bfa3a6207238c8910be7cb73b0fb0102e078e425df0933839aea,e31d1197e8071a5f9b27818262dedb33f07422127cd1f41d15bfc5aee7f83c93,e31d1197e8071a5f9b27818262dedb33f07422127cd1f41d15bfc5aee7f83c93,train
