case_id,domain_assignment_count,method,replay_query_count,replay_query_reduction,solver_call_count,split
f2c-train-0001,768,DenyAll,0,1.0,0,train
f2c-train-0002,768,DenyAll,0,1.0,0,train
f2c-train-0003,768,DenyAll,0,1.0,0,train
f2c-train-0004,768,DenyAll,0,1.0,0,train
f2c-train-0005,768,DenyAll,0,1.0,0,train
f2c-train-0006,768,DenyAll,0,1.0,0,train
f2c-train-0007,768,DenyAll,0,1.0,0,train
f2c-train-0008,768,DenyAll,0,1.0,0,train
f2c-train-0009,768,DenyAll,0,1.0,0,train
f2c-train-0010,768,DenyAll,0,1.0,0,train
f2c-train-0011,768,DenyAll,0,1.0,0,train
f2c-train-0012,768,DenyAll,0,1.0,0,train
f2c-train-0013,768,DenyAll,0,1.0,0,train
f2c-train-0014,768,DenyAll,0,1.0,0,train
f2c-train-0015,768,DenyAll,0,1.0,0,train
f2c-train-0016,768,DenyAll,0,1.0,0,train
f2c-train-0017,768,DenyAll,0,1.0,0,train
f2c-train-0018,768,DenyAll,0,1.0,0,train
f2c-train-0019,768,DenyAll,0,1.0,0,train
f2c-train-0020,768,DenyAll,0,1.0,0,train
f2c-train-0021,768,DenyAll,0,1.0,0,train
f2c-train-0022,768,DenyAll,0,1.0,0,train
f2c-train-0023,768,DenyAll,0,1.0,0,train
f2c-train-0024,768,DenyAll,0,1.0,0,train
f2c-train-0025,768,DenyAll,0,1.0,0,train
f2c-train-0026,768,DenyAll,0,1.0,0,train
f2c-train-0027,768,DenyAll,0,1.0,0,train
f2c-train-0028,768,DenyAll,0,1.0,0,train
f2c-train-0029,768,DenyAll,0,1.0,0,train
f2c-train-0030,768,DenyAll,0,1.0,0,train
f2c-train-0031,768,DenyAll,0,1.0,0,train
f2c-train-0032,768,DenyAll,0,1.0,0,train
f2c-train-0033,768,DenyAll,0,1.0,0,train
f2c-train-0034,768,DenyAll,0,1.0,0,train
f2c-train-0035,768,DenyAll,0,1.0,0,train
f2c-train-0036,768,DenyAll,0,1.0,0,train
f2c-train-0037,768,DenyAll,0,1.0,0,train
f2c-train-0038,768,DenyAll,0,1.0,0,train
f2c-train-0039,768,DenyAll,0,1.0,0,train
f2c-train-0040,768,DenyAll,0,1.0,0,train
f2c-train-0001,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0002,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0003,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0004,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0005,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0006,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0007,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0008,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0009,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0010,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0011,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0012,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0013,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0014,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0015,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0016,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0017,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0018,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0019,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0020,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0021,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0022,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0023,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0024,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0025,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0026,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0027,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0028,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0029,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0030,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0031,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0032,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0033,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0034,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0035,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0036,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0037,768,Declared-Contract Monitor,0,1.0,0,train
f2c-train-0038,768,Declared-Contract Monitor,0,1.0,0,train
